ID,Site,Start Date,End Date,Duration (in seconds),How likely would you be to recommend Braven to a friend?,Braven was one of the most valuable personal or professional development experiences I've ever had.,Please indicate how much you agree with each of the following statements: - I see Braven as more than just a course; I feel like I am part of a broader movement.,Please indicate how much you agree with each of the following statements: - I have a mentor who encourages my goals and dreams.,"On average, how much time did you spend completing Braven-related work compared to your other courses every week?",How challenging was the work you completed for Braven compared to the work you complete in your other courses?,What is your major?,Please indicate how much you agree with each of the following statements: - I feel certain about my ability to get the job I want,Please indicate how much you agree with each of the following statements: - I have what it takes to get a good job,Please indicate how much you agree with each of the following statements: - I am certain that my job search will be successful
142,SJSU,2019-12-10 18:17:16,2019-12-10 18:29:57,760,8,Strongly agree,Strongly agree,Strongly agree,Far more than other courses,About the same as other courses,Other [please specify],Strongly agree,Strongly agree,Strongly agree
124,SJSU,2019-12-10 18:08:03,2019-12-10 18:32:55,1492,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,Far less challenging than other courses,Accounting,Moderately Agree,Moderately Agree,Moderately Agree
234,SJSU,2019-12-10 18:15:08,2019-12-10 18:33:42,1114,10,Strongly agree,Moderately agree,Strongly agree,Far less than other courses,Far less challenging than other courses,Human Resources,Strongly agree,Strongly agree,Strongly agree
34,SJSU,2019-12-10 18:21:51,2019-12-10 18:36:14,863,10,Strongly agree,Strongly agree,Agree,Somewhat more than other courses,Somewhat less challenging than other courses,Psychology,Agree,Agree,Agree
242,SJSU,2019-12-10 18:21:38,2019-12-10 18:38:20,1002,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Psychology,Agree,Agree,Agree
191,SJSU,2019-12-10 18:26:19,2019-12-10 18:41:33,913,8,Agree,Moderately agree,Agree,Somewhat more than other courses,Somewhat more challenging than other courses,Computer Science,Moderately Agree,Neutral,Moderately Agree
18,SJSU,2019-12-10 18:42:49,2019-12-10 18:51:59,549,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,Somewhat less challenging than other courses,Business Management And Administration,Strongly agree,Strongly agree,Strongly agree
209,SJSU,2019-12-10 18:22:49,2019-12-10 18:54:50,1920,4,Moderately agree,Agree,Strongly agree,About the same as other courses,Somewhat less challenging than other courses,Applied Mathematics,Moderately Agree,Moderately Disagree,Neutral
219,SJSU,2019-12-10 18:55:50,2019-12-10 19:06:17,626,10,Strongly agree,Moderately agree,Moderately agree,About the same as other courses,Somewhat less challenging than other courses,Economics,Agree,Strongly agree,Strongly agree
79,SJSU,2019-12-10 18:01:57,2019-12-10 19:08:42,4004,5,Neutral,Agree,Neither agree nor disagree,About the same as other courses,About the same as other courses,Accounting,Agree,Neutral,Neutral
255,SJSU,2019-12-10 19:02:32,2019-12-10 19:12:35,603,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,Far less challenging than other courses,Human Resources,Moderately Agree,Moderately Agree,Strongly agree
113,SJSU,2019-12-10 18:42:38,2019-12-10 19:26:29,2631,10,Strongly agree,Strongly agree,Strongly agree,Somewhat less than other courses,Somewhat less challenging than other courses,Computer Science,Agree,Strongly agree,Agree
281,SJSU,2019-12-10 18:01:52,2019-12-10 19:29:25,5253,5,Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat less than other courses,Somewhat less challenging than other courses,General Business,Moderately Agree,Agree,Neutral
252,SJSU,2019-12-10 18:18:32,2019-12-10 19:36:27,4675,9,Strongly agree,Strongly agree,Strongly agree,Somewhat less than other courses,Somewhat less challenging than other courses,Communications,Moderately Agree,Agree,Agree
22,SJSU,2019-12-10 19:39:56,2019-12-10 19:46:47,410,8,Agree,Neither agree nor disagree,Agree,Somewhat less than other courses,About the same as other courses,Mechanical Engineering,Agree,Agree,Agree
172,SJSU,2019-12-10 19:54:23,2019-12-10 20:06:27,723,8,Agree,Moderately agree,Strongly agree,About the same as other courses,Somewhat less challenging than other courses,Communications,Neutral,Moderately Agree,Moderately Agree
1,SJSU,2019-12-10 20:15:10,2019-12-10 20:43:54,1723,7,Moderately disagree,Moderately agree,Strongly agree,About the same as other courses,Far less challenging than other courses,Electrical Engineering,Strongly agree,Strongly agree,Strongly agree
224,SJSU,2019-12-10 20:19:49,2019-12-10 21:20:46,3656,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Other [please specify],Strongly agree,Strongly agree,Strongly agree
128,SJSU,2019-12-10 21:53:33,2019-12-10 22:14:44,1270,7,Strongly agree,Moderately agree,Agree,Somewhat more than other courses,Somewhat more challenging than other courses,Other [please specify],Moderately Agree,Agree,Neutral
100,SJSU,2019-12-10 22:17:36,2019-12-10 22:45:31,1674,8,Moderately agree,Moderately agree,Moderately agree,Somewhat less than other courses,Somewhat less challenging than other courses,Physics,Agree,Agree,Agree
240,SJSU,2019-12-10 18:27:41,2019-12-10 22:47:05,15563,9,Agree,Moderately agree,Agree,Somewhat less than other courses,About the same as other courses,Psychology,Moderately Disagree,Agree,Strongly agree
204,SJSU,2019-12-10 22:38:03,2019-12-10 23:02:53,1490,9,Agree,Neither agree nor disagree,Moderately agree,Far more than other courses,Somewhat more challenging than other courses,Communications,Strongly agree,Strongly agree,Strongly agree
102,SJSU,2019-12-10 23:30:20,2019-12-10 23:41:24,663,10,Agree,Agree,Strongly agree,About the same as other courses,Somewhat less challenging than other courses,Biology,Agree,Agree,Agree
161,SJSU,2019-12-10 23:25:03,2019-12-10 23:48:04,1381,10,Moderately agree,Strongly agree,Strongly agree,Far more than other courses,Somewhat more challenging than other courses,Nutrition Sciences,Strongly agree,Strongly agree,Strongly agree
267,SJSU,2019-12-11 0:39:54,2019-12-11 1:17:33,2258,10,Strongly agree,Strongly agree,Strongly agree,Far more than other courses,Far more challenging than other courses,Physical Sciences,Strongly agree,Strongly agree,Strongly agree
24,SJSU,2019-12-11 1:11:49,2019-12-11 1:18:38,409,5,Moderately agree,Neither agree nor disagree,Neither agree nor disagree,About the same as other courses,About the same as other courses,Other [please specify],Neutral,Neutral,Neutral
62,SJSU,2019-12-11 1:57:15,2019-12-11 2:06:01,526,8,Agree,Moderately agree,Strongly agree,Far less than other courses,Somewhat less challenging than other courses,Industrial And Manufacturing Engineering,Agree,Agree,Strongly agree
15,SJSU,2019-12-11 7:04:13,2019-12-11 7:29:22,1508,10,Strongly Disagree,Strongly agree,Agree,Somewhat more than other courses,Far less challenging than other courses,Management Information Systems,Strongly agree,Strongly agree,Strongly agree
